1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
307	-1.103591	50.467000	20.086024	0.001333	0.6
308	-1.112625	50.437177	20.094409	0.000731	0.6
309	-1.150350	50.407355	20.102801	0.000919	0.6
310	-1.123297	51.407347	19.825169	0.001335	0.6
311	-1.131744	51.377845	19.833250	0.000630	0.6
312	-1.094361	51.348022	19.841425	0.001233	0.6
313	-1.115433	51.318200	19.849608	0.001424	0.6
314	-1.136700	51.312118	19.851277	0.000863	0.6
315	-1.098420	51.287338	19.858082	0.000644	0.6
316	-1.098267	51.257518	19.866277	0.000741	0.6
317	-1.111840	51.290839	19.857120	0.000977	0.6
318	-1.137841	52.290839	19.586185	0.000666	0.6
319	-1.134141	53.166332	19.354980	0.001197	0.6
320	-1.118041	53.136514	19.362765	0.000871	0.5
321	-1.137557	53.204734	19.344964	0.000604	0.6
322	-1.098170	54.203625	19.088015	0.000814	0.6
323	-1.121267	55.203447	18.837572	0.001192	0.6
324	-1.135648	55.173626	18.844946	0.000902	0.6
325	-1.142352	55.143803	18.852327	0.001261	0.6
326	-1.112220	55.113981	18.859714	0.000696	0.6
327	-1.110586	55.084158	18.867106	0.000678	0.6
328	-1.144701	55.054406	18.874487	0.000752	0.6
329	-1.121500	55.030030	18.880538	0.001032	0.5
330	-1.073838	56.029976	18.635445	0.001307	0.5
331	-1.088849	56.000210	18.642649	0.000555	0.7
332	-1.106992	57.000210	18.403641	0.001705	0.5
333	-1.104368	58.000129	18.170703	0.000263	0.6
334	-1.145114	58.431598	18.072001	0.001096	0.5
335	-1.145083	59.324148	17.871187	0.001437	0.5
336	-1.123450	59.294326	17.877825	0.001065	0.5
337	-1.144452	60.247653	17.668054	0.000725	0.5
338	-1.132432	61.204818	17.462333	0.000898	0.5
339	-1.112067	61.177223	17.468197	0.000800	0.6
340	-1.114739	61.147401	17.474538	0.000942	0.5
341	-1.127814	62.140555	17.265796	0.001351	0.5
342	-1.079704	62.118524	17.270373	0.001260	0.6
343	-1.094073	63.118524	17.065063	0.000700	0.5
344	-1.100224	63.088805	17.071094	0.001169	0.5
345	-1.134181	64.088805	16.870467	0.000622	0.6
346	-1.102919	64.059089	16.876361	0.001100	0.5
347	-1.123101	64.074015	16.873400	0.000909	0.5
348	-1.113774	65.074015	16.677366	0.000837	0.6
349	-1.128845	66.074014	16.485836	0.001410	0.6
350	-1.142256	66.056020	16.489243	0.000805	0.6
351	-1.126576	66.026198	16.494894	0.000347	0.6
352	-1.129019	65.996675	16.500491	0.000382	0.6
353	-1.124912	65.967793	16.505971	0.000898	0.6
354	-1.105294	66.698298	16.368481	0.000710	0.6
355	-1.141689	66.673051	16.373194	0.000864	0.6
356	-1.130237	66.657272	16.376142	0.001339	0.6
357	-1.139210	66.627466	16.381712	0.001164	0.5
358	-1.113925	66.597643	16.387289	0.001020	0.5
